Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Villa for sale,Prins Karellaan 13,"€ 1,650",4 bedrooms | 499 m² ,4 bedrooms,No,Hyper equipped,As new,450 m² ,No
House for sale,Lembergsesteenweg 67 Box lot 2,"€ 419,000",3 bedrooms | 188 m² ,3 bedrooms,No,Hyper equipped,As new,330 m² ,No
House for sale,Lembergsesteenweg 67 Box lot 1,"€ 459,000",3 bedrooms | 164 m² ,3 bedrooms,No,Hyper equipped,As new,341 m² ,No
House for sale,Ruelle Hierby 17,"€ 149,000",2 bedrooms | 134 m² ,2 bedrooms,No,Installed,Good,300 m² ,No
House for sale,Rue Petite Voie 176,"€ 149,000",5 bedrooms | 198 m² ,5 bedrooms,No,Semi equipped,To be done up,147 m² ,No
House for sale,Rue Pierre Curie 107,"€ 149,000",2 bedrooms | 80 m² ,2 bedrooms,No,Not installed,Good,147 m² ,No
House for sale,Blauwesteen 187,"€ 159,000",2 bedrooms | 155 m² ,2 bedrooms,No,Semi equipped,To renovate,50 m² ,No
House for sale,Rue de L'Eglise 18,"€ 219,000",5 bedrooms | 278 m² ,5 bedrooms,No,Not installed,To renovate,1092 m² ,No
House for sale,Kruisstraat 91,"€ 139,000",3 bedrooms | 112 m² ,3 bedrooms,No,Installed,To be done up,23 m² ,No
House for sale,Stooktstraat 70,"€ 239,000",3 bedrooms | 150 m² ,3 bedrooms,No,Hyper equipped,Just renovated,250 m² ,No
Quartier du Bailou - Maisons,4837 — Baelen,"€ 295,000",3 bedrooms | 188 - 236 m² ,3 bedrooms,No,Hyper equipped,Just renovated,250 m² ,No
House for sale,Rue Cyrille Bauwens 35,"€ 345,000",3 bedrooms | 115 m² ,3 bedrooms,No,Semi equipped,To be done up,700 m² ,No
House for sale,Rue Vankeerberghen 23,"€ 125,000",3 bedrooms | 100 m² ,3 bedrooms,No,Semi equipped,Good,700 m² ,No
House for sale,Koning Albert I-straat 130,"€ 379,000",4 bedrooms | 210 m² ,4 bedrooms,No,Installed,Just renovated,320 m² ,No
House for sale,Rue de la Roche Fatale 74,"€ 545,000",3 bedrooms | 165 m² ,3 bedrooms,No,USA installed,As new,50 m² ,No
House for sale,Hugo Verrieststraat 6,"€ 262,500",3 bedrooms | 130 m² ,3 bedrooms,No,Installed,Good,50 m² ,No
House for sale,Pompoenstraat 14,"€ 335,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,Just renovated,50 m² ,No
House for sale,Rue Sondeville 29,"€ 279,000",4 bedrooms | 163 m² ,4 bedrooms,No,Not installed,To be done up,1900 m² ,No
Apartment block for sale,Rue de Hermee 48,"€ 299,000",4 bedrooms | 177 m² ,4 bedrooms,No,Installed,Good,369 m² ,No
House for sale,Rue Jolet 13 & 15,"€ 367,000",6 bedrooms | 260 m² ,6 bedrooms,No,Not installed,Good,42 m² ,No
House for sale,Rue Quinettes 12,"€ 219,000",3 bedrooms | 111 m² ,3 bedrooms,Yes,Semi equipped,Good,536 m² ,No
Bungalow for sale,Rue Eau Morte 10,"€ 229,000",3 bedrooms | 155 m² ,3 bedrooms,No,Semi equipped,Good,1600 m² ,No
Apartment block for sale,Rue Large Voie 166,"€ 259,000",7 bedrooms | 215 m² ,7 bedrooms,No,Semi equipped,Good,1600 m² ,No
Apartment block for sale,Rue Ferdinand Heuveneers 22,"€ 299,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,Good,1600 m² ,No
't Groenehof,2860 — SINT-KATELIJNE-WAVER,"€ 445,750",3 bedrooms | 164 m² ,3 bedrooms,No,Installed,Good,1600 m² ,No
House for sale,Rue de Locht 52 Box 1,"€ 515,000",6 bedrooms | 255 m² ,6 bedrooms,No,Installed,Good,77 m² ,No
House for sale,Avenue de Jassans 50,"€ 495,000",3 bedrooms | 187 m² ,3 bedrooms,No,Semi equipped,Good,394 m² ,No
Villa for sale,St John's 3,"€ 895,000",4 bedrooms | 287 m² ,4 bedrooms,No,Installed,To be done up,394 m² ,No
House for sale,Route de Souxhon 344,"€ 375,000",4 bedrooms | 210 m² ,4 bedrooms,No,Installed,As new,1170 m² ,No
Mixed-use building for sale,Rue Marie-Christine 124,"€ 425,000",2 bedrooms | 220 m² ,2 bedrooms,No,Not installed,To be done up,1170 m² ,No
Exceptional property for sale,1050 — Ixelles,"€ 2,750",6 bedrooms | 668 m² ,6 bedrooms,No,Hyper equipped,As new,500 m² ,No
House for sale,1050 — Ixelles,"€ 570,000",5 bedrooms | 185 m² ,5 bedrooms,No,Installed,To be done up,500 m² ,No
Apartment for sale,Markt 132 Box 4,"€ 215,000",2 bedrooms | 89 m² ,2 bedrooms,No,Installed,Just renovated,500 m² ,No
Apartment for sale,Rue des Colombières 12 Box 21,"€ 264,000",3 bedrooms | 115 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
Apartment for sale,Rue Julien d'Andrimont 3,"€ 165,000",2 bedrooms | 85 m² ,2 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Visé Voie 560,"€ 235,000",4 bedrooms,4 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Weerstandlaan 40 Box 2,"€ 237,000",2 bedrooms | 123 m² ,2 bedrooms,No,Hyper equipped,Just renovated,500 m² ,No
House for sale,Limburgstraat 112,"€ 299,000",6 bedrooms | 216 m² ,6 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Chaussée des Forges 12,"€ 85,000",3 bedrooms | 110 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
House for sale,Rue Neuve-Voie 252,"€ 90,000",4 bedrooms | 186 m² ,4 bedrooms,No,Not installed,To renovate,75 m² ,No
House for sale,Chaussée de Liège 150 B,"€ 275,000",3 bedrooms | 125 m² ,3 bedrooms,No,Installed,Good,75 m² ,No
House for sale,Verbindingsstraat 12,"€ 289,000",3 bedrooms | 154 m² ,3 bedrooms,No,Semi equipped,Good,75 m² ,No
